price,brand,model,year,title_status,mileage,color,vin,lot,state,country
38700,ford,drw,2018,clean vehicle,59549.0,white,  1fd8w3ht1jeb13182,167788236,oklahoma, usa
21000,ford,taurus,2019,clean vehicle,12174.0,red,  1fahp2j81kg116841,167745472,pennsylvania, usa
28500,ford,door,2016,clean vehicle,96129.0,white,  1ft8w3dt6ged23165,167565003,oklahoma, usa
37200,ford,drw,2018,clean vehicle,89809.0,white,  1fd0w5ht9jeb13276,167788237,oklahoma, usa
18500,ford,taurus,2019,clean vehicle,18202.0,white,  1fahp2j8xkg115025,167745529,pennsylvania, usa
15000,ford,door,2015,clean vehicle,128505.0,white,  1ft7w2bt2fea81305,167565004,oklahoma, usa
37700,ford,drw,2017,clean vehicle,43527.0,white,  1fd8w3htxhed36198,167788238,oklahoma, usa
22200,ford,transit,2019,clean vehicle,15792.0,white,  1ftyr2cm5kkb55220,167745530,pennsylvania, usa
39950,ford,f-150,2019,clean vehicle,9278.0,white,  1ftew1e42kfc12713,167565282,georgia, usa
37600,ford,drw,2017,clean vehicle,41925.0,white,  1fd8w3ht6hed35386,167788239,oklahoma, usa
18500,ford,taurus,2019,clean vehicle,16924.0,white,  1fahp2j87kg116553,167745531,pennsylvania, usa
10000,ford,door,2013,clean vehicle,119869.0,silver,  1fm5k7f93dgc57984,167789003,florida, usa
20500,ford,taurus,2019,clean vehicle,17260.0,silver,  1fahp2j89kg115971,167745532,pennsylvania, usa
5700,ford,door,2013,clean vehicle,89490.0,white,  1fmcu0f75dud93994,167789013,florida, usa
21000,ford,transit,2019,clean vehicle,40772.0,white,  1ftye9zm5kka75959,167745533,pennsylvania, usa
22500,ford,transit,2019,clean vehicle,25623.0,white,  1ftyr2cm5kkb17292,167745536,pennsylvania, usa
29000,ford,f-150,2019,clean vehicle,11669.0,white,  1ftew1e53kfb51512,167565832,colorado, usa
13200,ford,door,2013,clean vehicle,138524.0,black,  1ftfw1ct8dfb88189,167789222,florida, usa
25500,ford,transit,2019,clean vehicle,13644.0,white,  1ftyr2cm7kkb12031,167745539,pennsylvania, usa
25700,ford,door,2016,clean vehicle,147935.0,white,  1fd8w3ht0geb20021,167789476,texas, usa
18900,ford,doors,2015,clean vehicle,44456.0,charcoal,  2fmtk4j99fbb84272,167647140,new york, usa
31500,ford,wagon,2019,clean vehicle,20357.0,black,  1fbax2cm0kka31240,167745558,pennsylvania, usa
45500,ford,door,2017,clean vehicle,66366.0,black,  1ft7w2bt4hed76215,167567118,florida, usa
11000,ford,door,2017,clean vehicle,43532.0,gray,  3fa6p0h74hr259986,167789487,pennsylvania, usa
18288,ford,doors,2015,clean vehicle,45218.0,gray,  2fmtk4j99fbb94378,167647142,new york, usa
20000,ford,door,2017,clean vehicle,85688.0,white,  1ft7w2b62heb39135,167567233,florida, usa
36600,ford,door,2016,clean vehicle,58902.0,white,  1ft7w2bt1ged33630,167789516,pennsylvania, usa
18299,ford,doors,2015,clean vehicle,59869.0,silver,  2fmtk4k85fbb28755,167647143,pennsylvania, usa
