price,brand,model,year,title_status,mileage,color,vin,lot,state,country,condition
7300,ford,door,2016,clean vehicle,110253.0,black,  3fa6p0g72gr397705,167801481,connecticut, usa,18 hours left
12800,ford,escape,2018,clean vehicle,39364.0,black,  1fmcu0gd3jub60681,167552309,missouri, usa,9 days left
24190,ford,doors,2018,clean vehicle,4018.0,blue,  1fatp8uh7j5182314,167654212,massachusetts, usa,11 days left
29100,ford,f-150,2019,clean vehicle,21054.0,red,  1ftew1e49kfc10392,167615292,minnesota, usa,14 hours left
29000,ford,door,2017,clean vehicle,48309.0,red,  1ft7w2b60hee77178,167740589,massachusetts, usa,6 days left
17300,ford,door,2016,clean vehicle,68666.0,black,  1fm5k8d82ggc60329,167801490,new york, usa,18 hours left
19888,ford,doors,2018,clean vehicle,34071.0,ingot silver metallic,  1fatp8uh2j5132890,167654213,new jersey, usa,11 days left
31000,ford,f-150,2019,clean vehicle,13600.0,white,  1ftfw1e50kfb96721,167615294,minnesota, usa,14 hours left
37200,ford,door,2017,clean vehicle,44956.0,black,  1ft7w2bt4hee52015,167740592,massachusetts, usa,2 days left
8600,ford,door,2016,clean vehicle,72607.0,silver,  1fmcu0f77gub25484,167801492,new jersey, usa,18 hours left
24857,ford,doors,2018,clean vehicle,33815.0,shadow black,  1fatp8uh3j5157023,167654214,massachusetts, usa,11 days left
23500,ford,flex,2019,clean vehicle,31491.0,gray,  2fmhk6d85kba09063,167615296,minnesota, usa,14 hours left
26100,ford,f-150,2018,clean vehicle,32149.0,white,  1ftew1cb3jfc81295,167741409,mississippi, usa,21 hours left
10800,ford,hybrid,2016,clean vehicle,26654.0,blue,  1fadp5au1gl114180,167801493,new york, usa,18 hours left
20995,ford,doors,2018,clean vehicle,36637.0,white,  1fa6p8th1j5167452,167654215,new york, usa,11 days left
29300,ford,f-150,2019,clean vehicle,17000.0,white,  1ftew1e4xkfc10403,167615298,minnesota, usa,14 hours left
33100,ford,f-150,2018,clean vehicle,15960.0,gray,  1ftew1ep2jfb83786,167741551,mississippi, usa,21 hours left
13800,ford,door,2016,clean vehicle,40774.0,gray,  1fahp2e84gg136518,167801747,new jersey, usa,18 hours left
19498,ford,doors,2018,clean vehicle,40338.0,black,  1fatp8uh1j5115336,167654216,new york, usa,11 days left
14900,ford,fusion,2019,clean vehicle,40505.0,gray,  3fa6p0cd0kr117056,167615300,minnesota, usa,14 hours left
8700,ford,door,2016,clean vehicle,30735.0,black,  1fadp3k28gl330142,167741697,massachusetts, usa,6 days left
20600,ford,mustang,2019,clean vehicle,33965.0,gray,  1fatp8uhxk5148658,167801788,florida, usa,2 days left
5000,ford,door,2018,salvage insurance,7339.0,white,  1ftex1c53jkd88586,167553971,oklahoma, usa,12 days left
19995,ford,doors,2018,clean vehicle,42470.0,white,  1fa6p8th8j5115591,167654217,new york, usa,11 days left
14900,ford,fusion,2019,clean vehicle,40670.0,silver,  3fa6p0cd1kr110357,167615301,minnesota, usa,14 hours left
19500,ford,door,2016,clean vehicle,41233.0,black,  1ftbf2b61ged08196,167741899,massachusetts, usa,6 days left
24500,ford,wagon,2019,clean vehicle,13162.0,white,  1fbzx2zm7kka48532,167801789,florida, usa,5 hours left
15000,ford,fusion,2018,clean vehicle,38744.0,white,  3fa6p0d97jr219835,167555170,california, usa,8 days left
26985,ford,doors,2018,clean vehicle,14023.0,black,  1fa6p8cf4j5145797,167654218,new york, usa,11 days left
31000,ford,f-150,2019,clean vehicle,9741.0,white,  1ftfw1e52kfb85249,167615302,minnesota, usa,14 hours left
24300,ford,explorer,2017,clean vehicle,31017.0,silver,  1fm5k7d82hgb82470,167742129,mississippi, usa,21 hours left
16800,ford,fusion,2019,clean vehicle,37786.0,gray,  3fa6p0d97kr118571,167801791,florida, usa,1 days left
17200,ford,mustang,2018,clean vehicle,32415.0,white,  1fatp8uh2j5132629,167555176,california, usa,8 days left
34995,ford,doors,2018,clean vehicle,10421.0,ruby red,  1fa6p8cf2j5161626,167654219,new york, usa,11 days left
24300,ford,wagon,2019,clean vehicle,29305.0,white,  1fbzx2zm0kka75345,167615308,minnesota, usa,14 hours left
26400,ford,explorer,2017,clean vehicle,51309.0,white,  1fm5k7fh2hgb04056,167742134,mississippi, usa,21 hours left
16800,ford,fusion,2019,clean vehicle,38001.0,black,  3fa6p0d98kr138974,167801792,florida, usa,1 days left
15500,ford,escape,2018,clean vehicle,18849.0,black,  1fmcu9hd7jua30891,167555180,california, usa,2 days left
19440,ford,doors,2018,clean vehicle,43269.0,silver,  1fatp8uh0j5124044,167654220,new york, usa,11 days left
16700,ford,fusion,2019,clean vehicle,36989.0,silver,  3fa6p0ru2kr117017,167615310,minnesota, usa,14 hours left
29000,ford,door,2017,clean vehicle,29320.0,blue,  1ftew1ep9hkc82719,167742317,alabama, usa,21 hours left
16100,ford,hybrid,2019,clean vehicle,34244.0,white,  3fa6p0ru4kr181558,167801793,florida, usa,1 days left
17200,ford,mustang,2018,clean vehicle,32938.0,white,  1fatp8uh9j5132644,167555184,california, usa,8 days left
20950,ford,doors,2018,clean vehicle,40793.0,black,  1fatp8uh6j5142578,167654221,new hampshire, usa,11 days left
46200,ford,door,2017,clean vehicle,94741.0,no_color,  1ft8w3dt1hee12434,167742320,alabama, usa,21 hours left
29400,ford,mustang,2019,clean vehicle,25011.0,white,  1fatp8ff0k5161477,167801794,florida, usa,2 days left
2825,ford,door,2014,salvage insurance,363810.0,white,  1fmjk1g53eef23881,167555421,montana, usa,17 hours left
32999,ford,doors,2018,clean vehicle,6881.0,shadow black,  1fa6p8cf3j5172103,167654222,new jersey, usa,11 days left
6600,ford,door,2014,clean vehicle,80423.0,orange,  3fa6p0hd9er326468,167615896,new jersey, usa,2 hours left
50200,ford,door,2017,clean vehicle,92405.0,white,  1ft7w2bt7hef07573,167742321,alabama, usa,21 hours left
28300,ford,ranger,2019,clean vehicle,15436.0,white,  1fter4fh5kla45887,167801795,florida, usa,2 days left
12000,ford,door,2017,salvage insurance,104665.0,white,  1ftfx1ef8hkd03259,167560049,california, usa,18 hours left
32999,ford,doors,2018,clean vehicle,16194.0,royal crimson metallic tinted clearcoat,  1fa6p8cf0j5118581,167654223,new jersey, usa,11 days left
12600,ford,door,2014,clean vehicle,48188.0,black,  1fm5k8d84egc31539,167615902,new jersey, usa,2 hours left
5200,ford,focus,2017,clean vehicle,65164.0,red,  1fadp3j22hl268403,167742322,alabama, usa,21 hours left
20500,ford,mustang,2019,clean vehicle,35930.0,black,  1fatp8uh8k5109583,167801796,florida, usa,2 days left
1200,ford,door,2012,salvage insurance,167376.0,red,  1fahp3f23cl414648,167561238,virginia, usa,3 days left
35999,ford,doors,2018,clean vehicle,13674.0,kona blue metallic,  1fa6p8cf1j5126821,167654224,new jersey, usa,11 days left
41000,ford,srw,2019,clean vehicle,9235.0,silver,  1ft7w2bt7kee46393,167616337,minnesota, usa,14 hours left
33100,ford,door,2017,clean vehicle,103002.0,red,  1ftew1ef2hfb30250,167742325,mississippi, usa,21 hours left
23500,ford,ranger,2019,clean vehicle,12836.0,blue,  1fter4eh3kla09133,167801802,florida, usa,2 days left
18799,ford,doors,2015,clean vehicle,137728.0,red,  1fatp8ff5f5323738,167564814,connecticut, usa,9 days left
33999,ford,doors,2018,clean vehicle,6921.0,magnetic metallic,  1fa6p8cf9j5110592,167654225,new jersey, usa,11 days left
35000,ford,srw,2019,clean vehicle,14359.0,white,  1ft7w2b68ked77546,167616338,minnesota, usa,14 hours left
26100,ford,wagon,2017,clean vehicle,58118.0,white,  1fbzx2zm3hka72688,167742336,mississippi, usa,21 hours left
15400,ford,fusion,2019,clean vehicle,31124.0,white,  3fa6p0cd8kr138334,167801803,florida, usa,1 days left
25998,ford,doors,2015,clean vehicle,25734.0,color:,  1fa6p8cf9f5365377,167564815,new york, usa,9 days left
31831,ford,doors,2018,clean vehicle,14059.0,black,  1fa6p8cf9j5125433,167654226,new jersey, usa,11 days left
40400,ford,srw,2019,clean vehicle,13472.0,black,  1ft7w2bt7kef15907,167616339,minnesota, usa,14 hours left
15400,ford,door,2013,clean vehicle,123983.0,silver,  1ftfw1ef7dfd73034,167742775,connecticut, usa,18 hours left
13500,ford,hybrid,2019,clean vehicle,35023.0,gray,  3fa6p0lu6kr119958,167801804,florida, usa,1 days left
25995,ford,doors,2015,clean vehicle,39509.0,white,  1fa6p8cf3f5404612,167564817,new hampshire, usa,9 days left
27990,ford,doors,2018,clean vehicle,4512.0,ingot silver metallic,  1fa6p8cf0j5159227,167654227,new york, usa,11 days left
23985,ford,doors,2015,clean vehicle,51884.0,white,  1fa6p8cf0f5308078,167564818,new jersey, usa,9 days left
27995,ford,doors,2018,clean vehicle,4181.0,gray,  1fa6p8cf9j5120362,167654228,pennsylvania, usa,11 days left
13995,ford,doors,2015,clean vehicle,56703.0,oxford white,  1fa6p8th8f5341198,167564839,new york, usa,9 days left
29988,ford,doors,2018,clean vehicle,4712.0,ingot silver metallic,  1fa6p8cf5j5125462,167654229,pennsylvania, usa,11 days left
12995,ford,doors,2015,clean vehicle,102800.0,blue,  1fa6p8am4f5334930,167564840,new jersey, usa,9 days left
21687,ford,doors,2018,clean vehicle,7109.0,lightning blue,  1fa6p8th8j5120337,167654230,pennsylvania, usa,11 days left
25200,ford,door,2016,clean vehicle,100943.0,white,  1ftew1cf9gfa55757,167743025,alabama, usa,21 hours left
29590,ford,doors,2015,clean vehicle,3915.0,green,  1fa6p8cf7f5325900,167564841,new york, usa,9 days left
28999,ford,doors,2018,clean vehicle,15550.0,ingot silver,  1fa6p8cf1j5175131,167654231,pennsylvania, usa,11 days left
13942,ford,doors,2015,clean vehicle,62542.0,magnetic metallic,  1fatp8em4f5415097,167564843,new jersey, usa,9 days left
15300,ford,taurus,2018,clean vehicle,38370.0,silver,  1fahp2f84jg117375,167667719,utah, usa,Listing Expired
35400,ford,ranger,2020,clean vehicle,671.0,blue,  1fter4fh1lla02732,167759471,ohio, usa,21 hours left
32700,ford,door,2016,clean vehicle,61477.0,silver,  1ft7w2bt2ged14343,167743061,alabama, usa,21 hours left
13995,ford,doors,2015,clean vehicle,73891.0,silver,  1fa6p8th7f5344481,167564844,new york, usa,9 days left
1850,ford,door,2014,salvage insurance,168805.0,black,  3fa6p0h78er183765,167682471,michigan, usa,2 days left
15800,ford,door,2012,clean vehicle,82564.0,gold,  1ftfw1ct4ckd77105,167623467,florida, usa,2 days left
36000,ford,door,2016,clean vehicle,85649.0,black,  1ft7w2b61geb39979,167743078,mississippi, usa,21 hours left
15495,ford,doors,2015,clean vehicle,48374.0,white,  1fa6p8th5f5420201,167564845,new york, usa,9 days left
21500,ford,door,2012,clean vehicle,11990.0,red,  1zvbp8ff3c5288048,167623702,florida, usa,2 days left
7200,ford,door,2016,clean vehicle,64111.0,black,  1fadp3k28gl311932,167743079,alabama, usa,21 hours left
17589,ford,doors,2015,clean vehicle,28771.0,red,  1fatp8uh0f5331279,167564846,new jersey, usa,9 days left
31700,ford,door,2015,clean vehicle,126708.0,white,  1ft7w2bt8fec08946,167743606,alabama, usa,21 hours left
31790,ford,doors,2015,clean vehicle,27165.0,orange,  1fa6p8cf6f5325225,167564847,new york, usa,9 days left
18100,ford,van,2015,clean vehicle,106546.0,white,  1fbzx2ym4fka72472,167743616,mississippi, usa,21 hours left
14495,ford,doors,2015,clean vehicle,54778.0,white,  1fa6p8am3f5306570,167564872,new jersey, usa,9 days left
15000,ford,fusion,2020,clean vehicle,11729.0,white,  3fa6p0d92lr117801,167625047,illinois, usa,19 hours left
26400,ford,door,2015,clean vehicle,85197.0,black,  1ftew1ef2fke07659,167743628,mississippi, usa,21 hours left
27990,ford,doors,2015,clean vehicle,19130.0,red,  1fa6p8cf2f5362711,167564874,massachusetts, usa,9 days left
19700,ford,expedition,2015,clean vehicle,72369.0,white,  1fmju1ht4fef41606,167743633,mississippi, usa,21 hours left
15300,ford,doors,2015,clean vehicle,59646.0,silver,  1fa6p8am2f5403582,167564875,massachusetts, usa,9 days left
22000,ford,door,2014,clean vehicle,68418.0,black,  1ftfw1ct6eke95627,167743891,mississippi, usa,21 hours left
23999,ford,doors,2015,clean vehicle,8400.0,black,  1fa6p8th8f5307097,167564892,new jersey, usa,9 days left
16488,ford,doors,2015,clean vehicle,45084.0,gray,  1fa6p8th8f5346675,167564894,new york, usa,9 days left
12784,ford,doors,2015,clean vehicle,67037.0,gray,  1fa6p8am0f5365382,167564896,new jersey, usa,9 days left
23400,ford,doors,2015,clean vehicle,64135.0,black,  1fa6p8cf0f5312423,167564910,new jersey, usa,9 days left
9705,ford,door,2017,clean vehicle,72377.0,black,  3fa6p0h76hr319394,167744596,arkansas, usa,21 hours left
25999,ford,doors,2015,clean vehicle,39367.0,oxford white,  1fa6p8cf7f5357357,167564912,new jersey, usa,9 days left
34977,ford,doors,2015,clean vehicle,46540.0,black,  1fa6p8cf2f5306378,167564913,pennsylvania, usa,9 days left
19000,ford,doors,2015,clean vehicle,40677.0,ingot silver metallic,  1fatp8uh8f5397899,167564914,new jersey, usa,9 days left
15995,ford,doors,2015,clean vehicle,69438.0,black,  1fa6p8th0f5382067,167564915,new york, usa,9 days left
13487,ford,doors,2015,clean vehicle,96246.0,gray,  2fmtk4j95fbb24313,167564973,new york, usa,9 days left
18707,ford,doors,2015,clean vehicle,69719.0,white,  2fmtk4k80fbb56382,167565005,connecticut, usa,9 days left
15290,ford,doors,2015,clean vehicle,75933.0,white platinum tri-coat metallic,  2fmtk4j86fbb17376,167565029,new york, usa,9 days left
15600,ford,doors,2015,clean vehicle,54325.0,black,  2fmtk3j86fbb54504,167565030,new york, usa,9 days left
